time,dim_0,y,x,spatial_ref,coastal,blue,green,red,rededge1,rededge2,rededge3,nir,nir08,nir09,swir16,swir22,scl,aot,wvp,geometry,es_incendio
2022-11-29 14:52:04.587,0,6327645.0,299625.0,32719,2226,2049,2027,1980,2217,2678,2848,3033,3007,2650,2749,1977,8,229,765,POINT (299625 6327645),0
2022-11-29 14:52:04.587,1,6323535.0,299985.0,32719,7669,6870,6497,6323,6599,6505,6501,6468,6495,6637,5549,4423,9,217,765,POINT (299985 6323535),0
2022-11-29 14:52:04.587,2,6324855.0,298305.0,32719,5079,4679,4418,4264,4543,4694,4791,4745,4834,4448,4300,3443,9,217,765,POINT (298305 6324855),0
2022-11-29 14:52:04.587,3,6326835.0,300195.0,32719,7397,7002,6632,6590,6933,7123,7179,7178,7181,6231,7432,6307,9,220,790,POINT (300195 6326835),0
2022-11-29 14:52:04.587,4,6322815.0,299055.0,32719,8905,7804,7218,6891,7126,6963,6856,6959,6798,7636,5495,4228,9,213,765,POINT (299055 6322815),0
2022-11-29 14:52:04.587,5,6323715.0,303975.0,32719,770,743,899,1200,1482,1850,2054,2263,2392,2543,2925,1990,5,209,640,POINT (303975 6323715),1
2022-11-29 14:52:04.587,6,6327225.0,302835.0,32719,926,843,1089,1441,1770,2299,2550,2738,2882,2791,3386,2236,5,231,1107,POINT (302835 6327225),0
2022-11-29 14:52:04.587,7,6324705.0,299505.0,32719,2573,1950,1967,1972,2234,2669,2893,2836,3072,2877,2977,2204,3,214,765,POINT (299505 6324705),1
2022-11-29 14:52:04.587,8,6323625.0,298545.0,32719,7140,6391,5933,5697,5991,5919,5951,5979,5902,6279,5062,4038,9,219,765,POINT (298545 6323625),1
2022-11-29 14:52:04.587,9,6325485.0,304605.0,32719,712,970,1269,1630,2022,2828,3189,3534,3631,3314,3146,1974,5,227,1145,POINT (304605 6325485),0
2022-11-29 14:52:04.587,10,6327345.0,300345.0,32719,1602,1614,1587,1623,1970,2563,2746,2954,2934,2416,3140,2106,5,231,1022,POINT (300345 6327345),0
2022-11-29 14:52:04.587,11,6322665.0,301815.0,32719,7275,6674,6155,5980,6188,6158,6156,6226,6097,6596,5613,4713,9,202,790,POINT (301815 6322665),0
2022-11-29 14:52:04.587,12,6327525.0,303465.0,32719,704,688,850,1110,1430,1763,1944,2072,2165,2199,2839,1984,5,230,1125,POINT (303465 6327525),0
2022-11-29 14:52:04.587,13,6325035.0,298935.0,32719,2636,2526,2423,2384,2594,2851,2971,3067,3107,2769,3025,2144,8,209,765,POINT (298935 6325035),0
2022-11-29 14:52:04.587,14,6322215.0,299625.0,32719,7281,6531,6173,5968,6228,6116,6151,6102,6095,6511,5058,3937,9,206,765,POINT (299625 6322215),0
2022-11-29 14:52:04.587,15,6323535.0,304725.0,32719,642,730,956,1335,1643,1956,2123,2312,2440,2344,2891,1948,5,206,666,POINT (304725 6323535),0
2022-11-29 14:52:04.587,16,6326265.0,299445.0,32719,5148,4715,4443,4391,4646,4805,4831,4791,4902,4388,4885,3877,9,216,765,POINT (299445 6326265),0
2022-11-29 14:52:04.587,17,6327195.0,304305.0,32719,768,743,971,1276,1612,1964,2203,2448,2574,2551,2712,1775,5,230,1052,POINT (304305 6327195),1
2022-11-29 14:52:04.587,18,6324885.0,302745.0,32719,693,751,928,1242,1525,1788,1996,2230,2260,2136,2706,1863,5,217,870,POINT (302745 6324885),1
2022-11-29 14:52:04.587,19,6322395.0,301635.0,32719,6192,5653,5236,5096,5243,5248,5274,5353,5267,5614,4713,3993,9,203,790,POINT (301635 6322395),0
2022-11-29 14:52:04.587,20,6323475.0,299325.0,32719,7917,7326,6809,6566,6816,6720,6656,6828,6603,6948,5634,4574,9,219,765,POINT (299325 6323475),1
2022-11-29 14:52:04.587,21,6324675.0,300585.0,32719,3773,3407,3180,3179,3452,3686,3818,4047,4031,3695,4261,3199,8,227,790,POINT (300585 6324675),1
2022-11-29 14:52:04.587,22,6326715.0,300465.0,32719,3684,3096,3017,3016,3268,3574,3647,3623,3669,3443,4156,3250,8,218,790,POINT (300465 6326715),1
2022-11-29 14:52:04.587,23,6327285.0,300855.0,32719,947,860,1105,1612,2006,2381,2448,2403,2409,2442,3278,2297,5,230,1102,POINT (300855 6327285),1
2022-11-29 14:52:04.587,24,6325935.0,299205.0,32719,9137,7948,7528,7293,7600,7524,7463,7450,7372,7158,6864,5686,9,216,765,POINT (299205 6325935),0
2022-11-29 14:52:04.587,25,6322215.0,298575.0,32719,7861,7146,6492,6139,6389,6300,6250,6606,6143,7131,5268,3838,9,214,765,POINT (298575 6322215),0
2022-11-29 14:52:04.587,26,6326565.0,304905.0,32719,730,583,639,720,978,1434,1668,1774,1882,2123,2207,1537,5,226,740,POINT (304905 6326565),0
2022-11-29 14:52:04.587,27,6326655.0,298785.0,32719,7256,6840,6438,6382,6704,6739,6757,6778,6744,5953,6980,5864,9,222,765,POINT (298785 6326655),0
2022-11-29 14:52:04.587,28,6326325.0,300045.0,32719,3262,2926,2812,2851,3170,3494,3522,3454,3657,2863,3965,3172,8,218,790,POINT (300045 6326325),0
2022-11-29 14:52:04.587,29,6326415.0,304815.0,32719,640,529,730,683,1160,1963,2207,2331,2412,2632,2229,1407,4,226,948,POINT (304815 6326415),0
2022-11-29 14:52:04.587,30,6326985.0,303165.0,32719,895,793,893,923,1304,1824,2024,2149,2268,2415,2548,1672,5,228,1019,POINT (303165 6326985),0
2022-11-29 14:52:04.587,31,6324645.0,302895.0,32719,769,684,805,986,1323,1867,2138,2341,2453,2340,2451,1568,5,214,867,POINT (302895 6324645),1
2022-11-29 14:52:04.587,32,6322215.0,300975.0,32719,8261,7055,6426,6222,6386,6316,6331,6425,6303,7135,5444,4377,9,213,790,POINT (300975 6322215),0
2022-11-29 14:52:04.587,33,6322935.0,301665.0,32719,6049,5938,5520,5417,5633,5694,5697,5842,5743,5615,5604,4839,9,205,790,POINT (301665 6322935),0
2022-11-29 14:52:04.587,34,6326145.0,304275.0,32719,513,322,473,360,782,1873,2139,2299,2427,2484,1489,864,4,228,1014,POINT (304275 6326145),0
2022-11-29 14:52:04.587,35,6325365.0,298125.0,32719,6089,4345,4164,4092,4385,4467,4528,4399,4609,5185,4169,3329,9,211,765,POINT (298125 6325365),0
2022-11-29 14:52:04.587,36,6324675.0,303135.0,32719,655,607,751,1002,1219,1526,1700,1928,2024,2215,2609,1714,5,213,671,POINT (303135 6324675),1
2022-11-29 14:52:04.587,37,6324015.0,303345.0,32719,864,824,1052,1427,1723,2087,2287,2438,2590,2817,3465,2344,5,212,673,POINT (303345 6324015),0
2022-11-29 14:52:04.587,38,6327435.0,299355.0,32719,2717,2018,2137,2240,2577,3068,3240,3156,3516,3112,3308,2469,8,225,765,POINT (299355 6327435),0
2022-11-29 14:52:04.587,39,6327435.0,304065.0,32719,719,736,938,1496,1812,2066,2398,2758,3050,2793,3620,2118,5,235,1055,POINT (304065 6327435),0
2022-11-29 14:52:04.587,40,6326715.0,300615.0,32719,1139,811,902,893,1283,1816,1982,2100,2112,2218,2609,1759,5,221,792,POINT (300615 6326715),1
2022-11-29 14:52:04.587,41,6322215.0,301935.0,32719,6877,6107,5595,5347,5578,5568,5542,5626,5495,6480,4722,3928,9,207,790,POINT (301935 6322215),0
2022-11-29 14:52:04.587,42,6323775.0,300735.0,32719,8624,7940,7244,6966,7207,7164,7173,7248,7198,7347,6134,4936,9,219,790,POINT (300735 6323775),0
2022-11-29 14:52:04.587,43,6326985.0,300345.0,32719,5797,4530,4337,4359,4642,4870,4971,4994,5029,4854,5491,4591,8,224,790,POINT (300345 6326985),0
